NZ_Time,depth
11:50,0
11:54,60
11:58,106
12:06,150
12:11,210
12:18,286
12:25,366
12:31,451
12:36,507
12:41,560
12:53,683
13:00,774
13:06,840
13:12,900
13:20,980
13:22,1000
13:27,1060
13:32,1100
13:37,1150
13:42,1200
13:48,1250
13:54,1300
14:07,1400
14:09,1400
14:15,1350
14:22,1300
14:27,1250
14:22,1200
14:38,1150
14:43,1100
14:48,1050
14:53,1000
14:58,950
15:02,900
15:07,850
15:12,830
15:16,750
15:20,700
15:24,650
15:29,600
15:33,550
15:37,500
15:41,450
15:45,400
15:49,350
15:53,300
15:57,250
16:00,200
16:04,150
16:10,100
16:14,50
16:19,0
