Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
0,-15.8,-16.2,-44.1,-43.6,-27.7,-26.7,-28.3,-31.9,-38.9,-34.6,-37.2,-31.4,-35.1,-30.5,-32.7,-30.4,-29.7,-26.9,-26.4,-26.8,-6.22439,25.1655,79.1722,121.5,-11.6576,-55.1668,151.094,171.25,70.2367,103.731,23.9781,-36.72,25.7396,-44.2863,-43.2157,-127.864,-63.1318,-96.2871,-161.071,154.615
1,-15.5,-16.4,-39.8,-35.3,-27.0,-26.1,-29.3,-33.5,-50.0,-37.1,-36.6,-37.2,-38.5,-44.4,-33.0,-31.2,-46.0,-29.2,-29.6,-51.6,-7.192326307179586,24.2947,80.23463388230815,121.13446776461629,-11.109307346410207,-56.694792653589786,149.78274122871835,169.798,71.13882653589793,102.63544407846123,24.958410640259046,-36.477823686155034,27.229692653589794,-44.44600899333463,-42.96666447076744,-128.98928980384687,-63.29014857512855,-94.86164572538566,-160.28300658769766,153.10944407846125
2,-15.5,-16.5,-36.4,-33.8,-26.6,-25.5,-28.2,-32.8,-37.3,-27.4,-38.5,-38.5,-38.5,-30.7,-35.7,-39.1,-42.2,-26.3,-39.0,-31.0,-8.623395307179585,24.140607346410206,81.75540000000001,121.51461184307752,-11.312633267948964,-55.56221469282041,150.65766611769186,169.45759924128743,69.9235175425633,103.72203673205104,25.530188601028414,-37.63918860102842,27.082961621024538,-44.3036998038469,-43.863399803846896,-130.49708695410402,-62.81737796076938,-95.38281184307752,-160.69174901923446,153.62894167282428
3,-15.0,-16.5,-38.2,-37.7,-26.0,-23.7,-31.7,-26.5,-35.0,-33.3,-42.9,-33.4,-27.6,-35.4,-35.0,-28.3,-28.0,-29.5,-42.0,-24.3,-8.421905307179586,23.661607346410207,82.89770734641021,122.70053388230814,-10.565132653589792,-54.98469265358979,150.9726727053895,170.09882128051802,69.8687812546182,103.77203673205103,26.529337176156986,-38.77974452256717,25.896932235383716,-45.23078125461822,-42.90833717615698,-129.91422982974677,-63.57549430051421,-96.803036954104,-159.3937461694916,155.08741513692632
4,-15.8,-16.3,-37.4,-29.9,-24.7,-22.2,-27.2,-28.1,-37.4,-34.6,-29.5,-41.5,-24.1,-31.7,-26.5,-27.2,-25.4,-23.2,-23.8,-30.5,-8.222445307179587,24.079514692820414,83.0789,123.82231184307751,-10.8999,-55.636870614359175,151.04448739820992,169.047821280518,70.351813045896,105.0909248889735,27.7102938564083,-39.893294300514206,25.14999835307559,-45.723882457436716,-41.98552248333658,-130.8802857512855,-62.61971633974483,-96.86823552923255,-159.76880064025903,156.49526491487336
5,-15.7,-16.4,-33.1,-29.3,-22.8,-22.7,-26.4,-25.5,-32.9,-28.1,-28.8,-33.6,-30.7,-27.7,-27.1,-24.5,-24.5,-24.0,-23.0,-22.5,-9.540465307179586,23.949707346410207,84.30409265358979,124.0220824574367,-11.080345307179586,-56.139992653589786,150.44530209103036,169.68585801256904,71.39211513692635,105.0253388230814,29.12203508512664,-41.237806143591726,24.18262773871642,-44.773632679489694,-41.372188601028455,-130.86885186897734,-61.09755756846317,-95.60699715025711,-158.69397390820802,156.78258860102838
6,-14.9,-16.1,-32.8,-28.4,-22.6,-21.8,-25.9,-24.8,-29.3,-25.2,-28.8,-27.6,-25.2,-25.2,-28.7,-23.5,-18.9,-20.2,-22.6,-26.0,-9.566585307179587,23.152622039230618,83.41625877128168,122.7073824574367,-10.920845307179587,-55.60117796076938,151.46893147667117,171.03085801256904,72.13448575128552,105.25814692820413,28.781293856408297,-40.022003293848826,24.76677631384497,-43.49818860102843,-41.73704002589989,-130.5240004441059,-61.114506143591726,-96.49059145077132,-157.7773445225672,155.46266941154067
7,-15.3,-16.7,-32.5,-28.4,-22.3,-20.8,-25.5,-23.4,-24.3,-23.8,-28.0,-26.2,-28.2,-26.6,-22.1,-23.0,-17.4,-21.0,-22.6,-20.6,-10.591927960769379,24.707614692820414,83.65766611769187,123.57796776461629,-11.194762653589793,-56.92787061435917,150.1247461694916,169.75145066615883,71.99644901923449,106.41896162102452,29.088923242049106,-40.30096656179779,25.403761621024557,-44.26904002589988,-43.16281798666925,-129.64216656179775,-62.40591349000193,-95.78802083641214,-158.9822547187203,154.67422267948965
8,-15.4,-15.9,-33.7,-26.8,-21.6,-20.4,-23.8,-21.1,-23.9,-21.9,-24.6,-28.0,-26.6,-26.1,-22.3,-20.2,-21.7,-19.7,-25.1,-23.2,-10.570765307179586,25.09852203923062,84.95885142487145,123.20716041820606,-10.358155307179587,-56.980377960769374,151.3343388230814,170.58048739820987,71.05726371205489,106.37514692820412,29.95884977794705,-40.80055921538758,26.142468967434766,-44.30385471872029,-44.108225333079474,-128.91052248333648,-61.18539145077132,-94.78370614359173,-158.93236656179778,154.70394267948964
9,-15.2,-16.1,-32.0,-25.7,-20.9,-18.8,-24.0,-19.8,-23.5,-24.3,-24.7,-24.4,-23.3,-25.5,-23.0,-18.7,-19.3,-19.9,-18.4,-19.9,-11.97589796076938,25.445114692820415,86.22671469282042,124.14006776461626,-9.219792653589792,-57.89036326794897,150.147560862312,170.77748739820987,72.1926710584651,105.83914692820412,30.86470120281851,-41.04452248333655,26.711627738716416,-44.896447372310064,-44.24444737231009,-130.24770044410587,-60.175342875642755,-94.65314737231006,-158.71550329384883,155.8682153330794
10,-15.2,-16.4,-31.8,-25.0,-20.1,-19.4,-22.2,-20.0,-26.2,-23.8,-21.8,-30.2,-22.3,-22.1,-19.1,-19.7,-19.6,-17.0,-16.7,-20.8,-11.264065307179585,25.09812203923062,87.38525877128167,123.01127511102648,-8.986492653589792,-57.85335592153876,149.45837555513242,172.03748739820986,71.92607840487531,104.98473958179392,30.59110854922875,-42.2369665617978,26.37403508512662,-46.34200329384882,-45.66922533307947,-131.2593371761569,-60.64430614359172,-95.33861756846316,-159.97268798666923,156.12969471872023
11,-15.0,-16.5,-32.3,-25.1,-19.2,-18.1,-20.9,-18.4,-23.2,-21.2,-23.4,-27.2,-22.1,-21.2,-20.8,-17.9,-17.6,-15.7,-16.7,-16.6,-10.176645307179587,24.853329385640826,87.38885142487146,121.77128245743667,-8.097642653589794,-57.44816326794897,150.25478290154263,171.14948739820986,70.91026371205493,105.35636896743473,30.150071817177718,-43.00596656179778,27.78584977794702,-45.570595947438605,-44.18581798666925,-132.20932248333648,-60.12813552923255,-94.77200614359171,-160.80886329384882,155.12511002589983
