Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
0,-28.06735,-31.01799,-36.73638,-35.34053,-30.21257,-26.91163,-31.70275,-30.10656,-24.69551,-24.05126,-27.95423,-35.73917,-35.74523,-27.67103,-25.64114,-23.93556,-25.93667,-24.33488,-24.41324,-23.77807,53.4219,-178.076,-34.3344,-79.443,163.861,144.372,157.45,78.6672,29.8275,0.976087,-72.6507,-98.8756,-92.0794,-37.0349,-110.984,-176.232,-172.202,177.578,170.406,130.337
1,-26.76577,-28.71975,-36.10419,-33.89258,-28.84674,-25.96699,-30.6781,-29.38779,-23.34216,-22.88446,-26.83673,-34.60855,-35.32678,-26.45945,-23.65245,-22.7695,-23.85742,-23.04292,-23.54011,-22.64264,53.92012203923062,-178.42377796076937,-33.73655592153876,-78.33652203923063,165.07996326794898,145.4178146928204,156.2021853071796,79.41207061435917,30.82611469282041,2.03732203923062,-72.37902203923062,-100.34071918948771,-93.55876041820606,-37.49703673205103,-109.5315926535898,-177.27633388230814,-172.25037061435916,176.26059265358978,170.32233388230816,130.1023706143592
2,-25.62829,-26.83498,-34.62924,-33.44357,-27.78232,-25.26765,-29.29008,-28.1679,-22.4217,-21.71364,-25.43917,-34.11503,-33.40528,-26.13612,-22.5894,-22.41935,-22.3014,-22.34655,-22.60939,-21.59362,54.3391073464102,-179.40214857512856,-33.29397061435917,-78.61022203923062,163.91977796076938,146.91122203923064,156.44140734641022,78.09475592153876,29.9407,0.5660706143591696,-72.38353673205103,-100.0588926535898,-93.20233837897544,-36.8254,-109.33917796076938,-176.75777796076937,-173.7201853071796,177.25514857512857,169.72353717615698,131.43114857512856
3,-25.21142,-25.64549,-34.9954,-34.44308,-27.47109,-25.37929,-28.7951,-27.67501,-22.32597,-21.78815,-24.9133,-34.82165,-33.54683,-27.13143,-22.52594,-22.89761,-21.03076,-22.45782,-23.69301,-20.57168,55.7293,-180.10796326794897,-32.68469715025711,-77.27858530717958,164.43018530717958,145.8178146928204,157.4143706143592,77.73511184307752,29.65103673205104,1.4761479607693762,-72.95574407846124,-101.22907346410207,-94.38441228718344,-37.12596611769186,-109.44522203923063,-177.74855592153875,-172.15896326794896,177.17626041820608,169.14914857512855,130.75018530717958
4,-24.84167,-24.30662,-35.45772,-35.08286,-27.36554,-25.4302,-28.47821,-27.48959,-21.85567,-21.67857,-24.10342,-34.77892,-35.57655,-27.53011,-22.60421,-23.35875,-20.5639,-22.04807,-21.84643,-20.59187,55.18062203923063,-181.19833388230813,-34.21217796076938,-76.76765142487145,165.183,146.8308146928204,157.24533388230813,76.41784122871834,29.62170734641021,0.884887960769376,-73.29603673205104,-99.90266611769185,-93.05060329384882,-36.65413673205103,-110.28822203923062,-178.43603837897544,-173.54340734641022,178.17592653589793,168.5468898038469,129.44255592153877
5,-24.55941,-23.08457,-36.27034,-35.65413,-27.4438,-25.85373,-28.49298,-27.4296,-21.65895,-21.12937,-23.60933,-35.20539,-33.00857,-27.43655,-22.72717,-23.16765,-21.09504,-21.5113,-21.50094,-20.90905,53.645022039230625,-181.01733388230812,-32.66587796076938,-76.76466611769186,166.13377796076938,146.5608146928204,156.19633388230812,77.78547061435917,28.659229385640828,0.15818265358978945,-73.57575877128166,-99.41437555513241,-94.20044572538566,-37.59775142487145,-111.17,-177.45155592153876,-173.4655926535898,176.99674122871835,168.77096326794896,129.21133388230814
6,-24.25153,-22.09954,-35.34217,-37.16702,-27.59948,-25.47315,-28.24831,-26.11721,-21.64024,-21.00051,-23.09552,-35.40269,-33.15393,-27.85509,-22.3523,-23.53862,-21.63953,-21.49346,-21.40438,-21.18558,53.896422039230615,-181.94192653589795,-31.596407346410203,-75.83566611769186,167.2847779607694,145.042,154.83351918948773,76.48436326794896,28.315507346410207,-0.3075293856408319,-73.75207346410207,-100.63047061435918,-94.94390734641021,-36.88451754256331,-112.67496326794897,-178.47955592153875,-173.52496326794898,176.70751918948773,169.5178898038469,128.46822203923062
7,-23.88802,-21.10131,-35.5614,-37.8686,-27.86683,-25.24131,-28.29036,-26.09108,-21.05332,-20.94593,-22.43312,-34.58289,-34.0146,-26.84442,-22.75414,-22.70389,-21.46036,-20.70279,-21.2902,-22.04658,55.045322039230626,-180.79692653589794,-31.418807346410205,-74.78045142487144,168.66637061435915,144.42781469282042,153.4267044966673,78.02924122871835,28.537963267948967,-0.6017367320510374,-74.23003673205103,-101.45764122871836,-94.88867105846512,-35.74499999999999,-112.56577796076938,-178.5414824574367,-172.10277796076937,176.2922971502571,169.0774824574367,127.54003103256524
8,-23.83306,-20.29377,-34.68984,-38.09917,-28.22946,-25.63415,-28.70863,-25.43961,-20.82501,-20.53535,-22.41641,-34.00353,-32.52086,-25.65331,-21.96393,-21.60401,-21.77921,-19.7404,-21.82353,-24.01749,56.12310734641021,-182.0551118430775,-32.39057061435917,-73.98448081051228,168.7653706143592,145.80781469282041,152.5461118430775,79.47141184307752,27.345577960769383,0.36326326794896246,-75.24366611769186,-101.67844407846127,-95.86204167282432,-36.9494248889735,-114.01586326794897,-179.28214857512853,-171.3035992412875,176.5241118430775,168.3723706143592,126.14018530717958
9,-23.6786,-19.52844,-34.18799,-38.61191,-28.53799,-25.31008,-29.28424,-24.60368,-20.56496,-20.16889,-22.29292,-34.08573,-32.88286,-25.03452,-22.20528,-21.93596,-20.95075,-19.43841,-22.87208,-25.71152,56.55991469282041,-183.5997044966673,-32.93068530717959,-75.23088815692249,169.54877796076937,145.24881469282042,153.47270449666732,80.79189715025711,26.013007346410205,-1.187722039230625,-76.19985142487144,-101.2712955033327,-97.13876941154072,-38.4907175425633,-113.41340734641021,-179.2199265358979,-172.29778454846704,177.3451118430775,169.86988980384692,127.05357511102648
