Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
0,-22.80305,-20.2787,-18.82934,-26.11055,-22.72305,-36.91179,-25.01252,-23.8449,-28.50853,-21.05785,-21.69827,-28.42719,-32.48222,-22.50397,-33.47159,-20.7621,-18.21901,-31.16043,-33.21552,-20.4022,-123.759,-69.7444,53.6448,-42.2076,-57.5095,-21.0976,23.1354,-125.839,-120.911,21.9091,-175.138,-94.9548,162.623,167.932,119.12,157.557,83.0328,75.0278,-154.758,60.7153
1,-22.36935,-20.3868,-17.92114,-23.22465,-21.34195,-39.74509,-26.06082,-21.1176,-27.05563,-24.49075,-19.56337,-25.42419,-30.80912,-21.29767,-26.17329,-20.3225,-19.25911,-27.01083,-23.11042,-20.4597,-122.584,-68.21430734641021,53.60279265358979,-43.19726326794896,-56.3408073464102,-19.92623592153876,22.392210614359172,-126.23918530717958,-120.79377796076938,22.18397796076938,-173.84577796076937,-94.63322203923063,161.64714857512857,166.94274122871835,119.60743388230814,157.31740734641022,82.6044,75.86654407846123,-156.09170943744058,59.21841469282041
2,-22.56805,-20.9041,-17.75854,-20.65475,-21.04945,-30.98299,-27.82042,-20.6051,-25.84103,-28.93285,-19.06347,-30.90249,-21.85882,-20.86597,-27.04009,-23.0644,-17.74121,-21.23113,-21.12622,-18.811,-121.927,-68.9957073464102,53.5258,-44.23995592153876,-57.4350073464102,-19.362261621024558,20.88552653589793,-125.3035926535898,-120.76281469282043,21.721811843077518,-173.31796326794898,-94.7749248889735,161.69,166.57933388230813,121.07385142487145,156.97481469282042,81.70444407846125,76.00298530717959,-156.93330209103036,60.10651469282042
3,-23.13995,-20.4698,-17.08994,-19.51155,-18.86505,-29.65309,-24.64632,-18.3878,-21.79173,-35.64725,-17.30077,-22.77479,-19.48412,-17.21127,-23.67529,-18.2107,-15.72771,-23.42223,-20.18952,-14.3622,-123.24340734641021,-68.9089,53.3579073464102,-45.46693388230814,-56.63959265358979,-19.42433958179393,21.647397150257103,-124.5954073464102,-121.31237061435917,21.709653071795863,-172.08277796076936,-95.56573958179393,162.60077796076936,167.66933388230814,121.31137061435919,158.29455592153874,81.53543673205102,77.33007061435917,-158.18115351590183,60.0202073464102
4,-22.63645,-21.1805,-16.53864,-17.48795,-18.00095,-26.83859,-23.76992,-17.935,-23.67643,-30.45555,-15.82727,-19.22279,-17.05162,-19.31607,-21.99789,-15.9989,-16.70521,-23.85273,-16.96332,-14.5029,-122.7375926535898,-67.5383926535898,52.534807346410204,-44.883448575128554,-57.2881,-19.31866162102456,22.82778245743669,-123.84818530717959,-120.17418530717958,22.12035307179586,-173.32755592153876,-96.74455427461433,161.6661853071796,168.29714857512857,121.14059265358979,156.85574122871836,80.94792938564083,76.31502653589793,-156.70937555513243,59.62912203923062
5,-22.39675,-22.0282,-16.03214,-16.80615,-17.08505,-24.78429,-24.04092,-16.6872,-23.72673,-26.08405,-14.41977,-19.05459,-14.97282,-17.73097,-21.59039,-15.5919,-12.93321,-20.06953,-15.61832,-12.7439,-121.92681469282041,-68.4685926535898,53.8669073464102,-44.408241228718346,-55.727192653589796,-18.90214692820414,24.334860418206063,-122.809,-120.4395926535898,21.1642987971815,-171.79114857512857,-96.61573958179395,162.16777796076937,169.74751918948772,121.2087779607694,156.76814857512855,79.64992938564083,77.0555,-155.50619024795287,60.10292203923062
6,-22.84095,-21.9105,-15.78884,-15.75635,-15.97665,-24.31929,-21.18182,-16.7022,-24.39263,-24.98205,-14.31187,-16.79879,-13.30312,-16.09077,-16.64009,-12.8513,-12.51401,-18.24693,-15.73622,-12.732,-121.87522203923064,-69.3354926535898,54.2702073464102,-44.977433882308134,-54.5321073464102,-18.53225427461436,24.969345725385658,-122.277,-119.9474073464102,22.730040025899854,-173.09433388230812,-95.85396162102454,161.00718530717958,169.09233388230814,121.82581469282043,155.71596326794898,80.66342938564082,76.0997073464102,-154.4756637120549,58.69703673205103
7,-22.83505,-22.0562,-15.37574,-14.32725,-15.54505,-23.09899,-20.24162,-15.1225,-21.85723,-23.79325,-13.28057,-17.42599,-13.78402,-14.45707,-16.59469,-12.6202,-12.41581,-16.90703,-16.03822,-11.5289,-120.84862938564082,-70.44798530717958,55.42420734641021,-45.54933388230813,-53.2935,-17.26576896743478,25.05672368615503,-122.6774073464102,-120.42318530717958,21.97666941154067,-174.5021118430775,-94.30814692820411,161.5161853071796,170.46133388230814,120.97940734641021,155.07674122871833,80.84731469282042,75.59122938564083,-155.66961963359367,60.237022039230624
8,-22.38785,-22.537,-14.50354,-13.89935,-14.84805,-21.10069,-19.21252,-14.9377,-20.84063,-20.21875,-12.39587,-15.98009,-11.59292,-14.62347,-14.69969,-11.3297,-12.57721,-15.60023,-15.60272,-11.7571,-122.3468146928204,-71.48827796076938,55.479014692820414,-47.02972653589793,-54.7726,-17.844283660255186,25.367038378975444,-121.60040734641021,-119.1695926535898,23.241262065130442,-173.28633388230813,-95.75677631384497,163.04259265358982,171.84711184307753,120.06122203923061,154.77233388230815,81.84921469282042,74.68166326794898,-155.6113755551324,59.99834407846124
9,-22.72245,-22.3881,-13.94754,-12.89625,-14.36025,-21.12449,-18.33282,-14.0352,-19.33023,-19.69295,-11.87857,-13.60809,-10.08272,-13.30397,-14.08019,-11.3029,-11.83391,-12.63433,-13.15882,-10.5067,-123.2054073464102,-70.14998530717958,55.80731469282041,-47.084926535897935,-54.238607346410205,-19.213061621024565,24.84140899333461,-120.9854073464102,-119.9445926535898,23.990447372310044,-173.34233388230814,-96.42455427461434,163.3605926535898,172.21533388230813,120.84303673205103,154.30592653589792,80.62752203923063,75.3127073464102,-157.09032698000385,59.74063673205103
10,-22.75805,-22.8942,-13.49274,-12.14925,-13.24735,-19.46199,-17.22412,-13.9035,-20.26393,-19.78475,-11.37047,-13.99359,-10.33392,-13.18647,-13.26939,-9.6298,-10.65171,-14.42773,-12.16942,-10.5266,-122.77162938564082,-71.4372853071796,55.02510734641021,-47.62852653589793,-53.120007346410205,-18.02286162102456,26.291401646924413,-121.9,-120.89018530717959,24.135854718720253,-174.5161118430775,-96.62836896743474,161.9365926535898,171.03351918948772,122.02781469282043,152.87233388230814,79.93323673205103,74.57588530717959,-156.43553432641409,59.00823673205103
11,-22.92885,-22.6419,-13.45324,-11.32715,-12.59005,-19.26469,-16.85462,-13.2713,-17.82463,-18.31385,-10.64877,-12.37379,-9.02622,-13.00097,-12.16609,-8.8303,-10.34401,-12.22843,-12.36442,-9.5473,-122.09103673205104,-72.47128530717958,55.668407346410206,-46.07802653589793,-54.524107346410204,-19.417754274614353,25.28210164692441,-122.769,-122.1005926535898,24.546854718720255,-175.5665191894877,-97.20255427461433,161.0255926535898,171.42151918948773,122.23040734641022,152.96433388230813,79.29423673205103,74.79987796076938,-157.0770416728243,60.50994407846124
12,-22.86405,-23.1438,-13.33844,-10.73515,-12.43805,-17.50059,-15.67382,-12.5358,-18.22793,-17.73555,-10.56987,-11.55749,-8.47382,-11.47987,-11.73379,-8.9707,-10.38281,-12.82533,-13.26722,-8.2314,-120.72744407846125,-72.0409853071796,55.726914692820415,-46.669426535897934,-54.730007346410204,-18.80795427461436,24.59008695410401,-123.1844073464102,-123.4424073464102,25.98944737231004,-176.03411184307754,-97.05136896743474,160.655,172.70751918948773,122.80940734641021,154.31233388230814,80.7647146928204,74.191,-158.58412698000387,59.425036732051026
13,-23.29385,-22.6483,-12.73864,-10.06695,-11.96405,-16.80279,-16.66052,-11.6661,-16.61713,-15.66065,-9.88907,-11.69179,-7.67982,-11.58217,-12.00919,-7.9315,-9.07981,-10.86793,-11.18192,-8.3782,-120.15662938564084,-73.48047061435918,55.671514692820416,-46.83452653589793,-53.8897,-19.782054274614353,25.480272261283602,-123.906,-124.613,27.525040025899827,-176.87611184307752,-97.66155427461433,161.1625926535898,171.92751918948773,121.98581469282043,153.92133388230815,81.68441469282041,75.71841469282042,-157.74882698000388,60.52453673205103
14,-23.39355,-23.1082,-12.08884,-9.37495,-11.75325,-15.73749,-14.95762,-11.5042,-16.10873,-15.12825,-9.15187,-11.08569,-7.46142,-9.78837,-9.81179,-6.8998,-8.64671,-11.60063,-10.63402,-8.6021,-119.81044407846124,-73.07927796076937,56.26271469282042,-46.458626535897935,-52.911414692820415,-20.43904692820415,24.339279607693797,-125.3275926535898,-125.1065926535898,28.80244737231004,-177.5161118430775,-98.64236896743475,160.5035926535898,173.45751918948773,120.96981469282042,153.64733388230815,82.62992203923062,75.3882926535898,-159.05962698000388,61.81965877128165
15,-23.38225,-24.2066,-11.90604,-9.06635,-11.33555,-15.62859,-15.03432,-11.4015,-15.57293,-14.39745,-8.79677,-10.26339,-6.45242,-10.86457,-9.73379,-7.2237,-7.72871,-10.31523,-9.98162,-7.2392,-120.29303673205104,-72.57087061435917,57.652014692820416,-46.82802653589793,-53.71841469282042,-19.029054274614353,25.8577722612836,-126.57718530717958,-125.005,29.42204002589982,-177.1487044966673,-98.92136896743474,160.628,173.8475191894877,122.07100000000001,154.1135191894877,84.02210734641021,76.08370734641022,-159.7769343264141,62.383951424871455
16,-22.91385,-23.9373,-11.59984,-8.59605,-10.49015,-14.78289,-14.20942,-10.7936,-15.19423,-15.05885,-8.15407,-9.19399,-5.98592,-9.49467,-9.01839,-6.0849,-7.45971,-9.35003,-10.49632,-7.4139,-121.24066611769184,-71.60737796076938,56.27501469282041,-47.16052653589793,-54.536507346410204,-19.57374692820416,26.1985722612836,-128.1297779607694,-125.9294073464102,28.47744737231004,-176.4937044966673,-98.05736896743474,159.709,174.6085191894877,121.52781469282043,152.85451918948772,84.1640073464102,77.22820734641022,-160.9979196335937,61.541051424871455
17,-23.44905,-24.1871,-11.27154,-8.16485,-10.40185,-14.07489,-14.08502,-10.1979,-14.40193,-12.76575,-8.14937,-8.73359,-5.72092,-9.38287,-9.14659,-5.8872,-8.18111,-9.06123,-9.39662,-6.9674,-120.44207346410207,-72.28817061435917,54.89922203923062,-48.44471918948772,-55.90280734641021,-20.195654274614355,27.466957568463187,-129.4747779607694,-127.2075926535898,29.535632679489638,-175.14211184307754,-98.58177631384494,159.023,173.87551918948773,122.26740734641022,151.72333388230814,82.6281073464102,76.4314073464102,-159.95715636564472,61.86093673205103
18,-23.42335,-24.5564,-10.85104,-7.71525,-9.99835,-13.62619,-13.40802,-9.7154,-14.36353,-12.59205,-7.82857,-9.10409,-5.16252,-8.32787,-8.32659,-5.7239,-6.63551,-9.45063,-9.08332,-6.4092,-120.90485142487144,-72.62467796076938,54.672422039230625,-49.12161918948772,-57.12320734641021,-21.400446928204147,26.978257568463192,-129.63277796076937,-128.274,30.50963267948964,-176.1121118430775,-99.70596162102453,159.162,173.73211184307752,123.33800000000001,151.33233388230815,82.93221469282042,75.80822203923063,-161.12014167282433,62.06284407846125
19,-23.09295,-25.3254,-10.74054,-7.32705,-9.67405,-12.82779,-12.96342,-9.896,-13.17773,-12.37165,-7.47467,-7.97539,-4.92092,-8.06967,-7.57759,-4.8268,-6.13491,-8.51883,-8.44162,-6.2273,-120.58507346410207,-73.12128530717959,55.83802203923062,-48.360719189487725,-58.1606,-20.06965427461435,26.274550222052994,-130.4397779607694,-127.2374073464102,31.34122533307942,-177.43170449666732,-98.83336896743474,160.29759265358982,174.8261118430775,123.21500000000002,151.41492653589793,82.7945146928204,75.23271469282042,-160.3820416728243,62.674836732051034
20,-23.26815,-25.9206,-10.66084,-7.00325,-9.41755,-12.79089,-12.42312,-9.21,-13.17043,-11.64655,-7.46807,-7.45099,-4.47772,-7.28877,-7.33259,-4.6584,-6.42821,-7.90973,-8.07352,-6.9525,-121.15148081051228,-74.69077061435917,56.102222039230625,-49.29261918948772,-58.32610734641021,-19.29935427461436,27.591850222052983,-130.89337061435918,-126.0188146928204,32.624632679489636,-177.6202971502571,-98.79077631384493,160.213,173.76711184307754,122.6275926535898,151.35033388230812,83.0386073464102,75.8073926535898,-160.83375636564472,63.448936732051024
21,-23.25965,-26.062,-10.09514,-6.64985,-9.09845,-12.23979,-12.15972,-9.1016,-12.13873,-11.29045,-6.95347,-6.86919,-3.87692,-7.74027,-7.47289,-4.2363,-5.64571,-7.24383,-7.02042,-6.8806,-122.51448081051228,-75.52337061435918,55.79942203923062,-48.65021918948772,-57.74900734641021,-18.037454274614362,26.350050222052985,-132.27237061435918,-127.30081469282041,33.92881798666923,-179.1832971502571,-98.70836896743474,159.53940734641023,172.77051918948771,124.08059265358979,151.95592653589793,81.6576073464102,77.36608530717959,-161.3026343264141,63.44125142487145
22,-23.53615,-27.0507,-9.93684,-6.14865,-8.65525,-11.67689,-11.47242,-8.9632,-12.19703,-10.81495,-6.66627,-6.80239,-3.65882,-7.05047,-7.31909,-4.0002,-6.05461,-7.10083,-7.22042,-6.3972,-123.08329550333269,-74.72147061435916,55.41852203923062,-48.03961918948772,-57.71270734641021,-18.79335427461436,25.574450222052988,-132.02337061435918,-127.28481469282042,32.71922533307945,-179.4092971502571,-99.34977631384493,160.193,172.6745191894877,125.61700000000002,150.66492653589793,83.0235,77.1881,-162.54273432641412,63.22664407846124
23,-24.70755,-27.0749,-9.83374,-5.87915,-8.33865,-11.18199,-11.58062,-8.7316,-11.45373,-10.04275,-6.46077,-6.36839,-3.24442,-7.29187,-6.85899,-3.8329,-5.06931,-7.17393,-7.85652,-7.0068,-122.78966611769187,-73.26296326794896,56.800022039230626,-48.64741918948772,-58.5467073464102,-19.404554274614355,25.390550222052994,-132.44637061435918,-128.7318146928204,31.17222533307944,-180.51329715025713,-100.11636896743472,158.806,171.39051918948772,125.54718530717959,149.60892653589792,83.0247926535898,76.9176853071796,-162.44304167282434,63.47832938564083
24,-23.99535,-26.5379,-9.34714,-5.57905,-7.94985,-10.97269,-10.83552,-8.2708,-10.91603,-10.07515,-6.40387,-5.91189,-2.92882,-6.71627,-6.00169,-3.8034,-4.26641,-7.21563,-6.47412,-6.3007,-123.92948081051227,-72.68174857512855,55.933529385640824,-47.61211918948772,-57.929107346410206,-19.51015427461435,24.631242875642783,-133.77737061435917,-127.5898146928204,30.66022533307944,-179.5702971502571,-101.64736896743473,158.02540734641022,170.59351918948772,125.2705926535898,149.99992653589794,83.0917,76.5292,-163.0890343264141,64.56492938564082
25,-23.50445,-27.6437,-8.99464,-5.25695,-7.67455,-10.81209,-10.57052,-8.0278,-10.93883,-9.50545,-6.22837,-5.37309,-2.84802,-6.33957,-6.53639,-3.1933,-4.86601,-6.24193,-6.13552,-5.9288,-124.13048081051227,-71.19786326794896,55.445929385640824,-47.80751918948772,-57.90400734641021,-20.04985427461436,25.716035529232585,-133.67896326794897,-127.19922203923062,31.227225333079446,-178.7112971502571,-103.02936896743473,158.614,169.71751918948772,124.33318530717959,148.64933388230813,82.6531,75.02929265358979,-163.1404490192345,65.71142203923063
26,-22.80755,-28.8242,-8.98044,-4.85895,-7.48765,-10.26429,-10.57172,-7.8882,-10.08313,-9.03735,-6.09327,-5.56219,-2.44272,-6.09117,-5.86019,-3.2249,-4.31641,-5.58733,-6.89862,-5.4978,-125.65148081051228,-70.71584857512855,54.65522938564082,-48.211319189487725,-58.10990734641021,-19.29785427461435,25.926235529232585,-134.41896326794895,-125.93962938564083,30.895817986669215,-180.1252971502571,-104.45436896743475,158.19,170.0811118430775,124.03359265358979,149.33192653589794,83.4786,74.32368530717959,-164.1959416728243,64.83181469282042
27,-23.00705,-27.3848,-8.79934,-4.57675,-7.13795,-10.08159,-9.89542,-7.2401,-9.73443,-8.99265,-6.02927,-4.77199,-2.46372,-4.93307,-5.34509,-2.87,-4.47161,-4.99563,-6.23852,-5.8302,-124.1128881569225,-71.79484857512855,55.21462938564083,-47.47741918948772,-57.51990734641021,-19.733954274614362,24.80063552923258,-133.80637061435917,-126.11062938564082,32.24181798666922,-181.0468898038469,-105.24436896743474,157.0224073464102,170.89711184307754,124.6967779607694,148.09133388230813,81.9759,73.53659265358979,-164.7679490192345,66.0791073464102
