Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
0,-17.84534,-19.73204,-25.227,-24.13188,-23.23151,-22.04532,-21.60184,-18.59218,-38.77391,-30.7826,-20.19408,-23.6704,-23.32726,-22.34733,-22.31561,-17.95753,-23.20999,-22.28385,-21.945,-18.30353,-102.486,-112.202,57.6703,59.913,-27.4384,79.6047,10.0018,-58.2604,-132.631,0.338211,-29.4302,-14.3658,-47.3178,-75.9682,-20.328,-86.9498,-143.991,-111.182,-94.0907,-79.9969
1,-16.47168,-18.51407,-24.21739,-22.81838,-22.18705,-20.93692,-20.0848,-17.49032,-38.67609,-30.20278,-19.02402,-22.75732,-21.28703,-21.37802,-21.5694,-16.67789,-22.35416,-21.18666,-20.70168,-16.86844,-102.7004073464102,-110.928,57.5547926535898,60.990085307179584,-28.94860734641021,80.3938073464102,10.118342653589792,-59.25218530717959,-133.49925877128166,1.516044078461242,-28.0354,-13.697922039230619,-48.62950734641021,-77.24397061435917,-20.669640614359174,-85.47982203923063,-143.84526041820607,-110.95626326794897,-92.8918044966673,-79.20321469282041
2,-15.49702,-17.56375,-22.9967,-21.85215,-21.0971,-19.97523,-19.00634,-16.51598,-37.0242,-28.70287,-18.25222,-21.844,-20.46806,-20.32709,-20.93654,-15.64536,-21.31429,-20.18225,-19.7968,-16.27349,-102.51140734641021,-109.53,56.20439265358979,61.3028,-29.483392653589792,80.7828926535898,11.12164796076938,-57.98527796076938,-134.1699682087222,2.668336732051035,-27.674492653589795,-13.162155307179585,-47.708,-76.98517796076938,-19.359136732051034,-86.96503673205103,-143.9141118430775,-110.34881469282041,-92.65151184307751,-79.0415
3,-15.44912,-17.62167,-22.99354,-21.88081,-21.18687,-19.90787,-18.93972,-16.6776,-37.54673,-27.47944,-17.86146,-22.09933,-20.7,-20.06813,-21.06667,-15.3634,-20.84475,-19.85071,-21.023,-16.66448,-103.348,-108.209,56.655692653589796,61.28009265358979,-31.0181,81.0398073464102,9.619307346410206,-58.24247796076938,-134.74156086231199,2.662247346410207,-28.079263267948967,-13.165907346410206,-48.26790734641021,-76.35568530717958,-20.161214692820412,-87.58752203923062,-143.566,-111.20862938564083,-91.14555592153877,-77.6962146928204
4,-15.42479,-17.71668,-22.68775,-21.90669,-21.27431,-19.93953,-19.09245,-16.73724,-34.15347,-26.95344,-18.25111,-22.26384,-21.05479,-20.34496,-20.77749,-15.21928,-21.00341,-18.22444,-20.95302,-17.00686,-103.6994073464102,-107.6385926535898,55.81150734641021,59.95989265358979,-30.994077960769378,80.58882203923062,9.363908660769379,-57.47617796076938,-135.3606293856408,1.3531220392306214,-26.73306592153876,-12.79142203923062,-48.98899265358979,-76.6720926535898,-18.951999999999998,-88.83097796076937,-142.41728245743667,-112.70596326794896,-91.17381918948772,-77.6573073464102
5,-15.34621,-17.7896,-22.6751,-21.84612,-21.06893,-20.18893,-18.76905,-16.75843,-33.23717,-27.26831,-18.33965,-22.17352,-20.73659,-20.12089,-21.48746,-15.24645,-22.42524,-18.08022,-21.36901,-17.57712,-105.128,-107.753,55.45270734641021,59.20869265358979,-29.832163267948964,79.90062203923063,9.538312653589793,-56.963785307179585,-135.33281469282042,1.134262653589793,-25.553970614359173,-13.067507346410205,-49.7951,-77.19116326794897,-18.326836732051028,-90.14627796076938,-143.27974122871834,-112.54559265358978,-91.83974857512855,-76.54825877128165
6,-15.41507,-17.75651,-22.33192,-21.89583,-20.81636,-20.11641,-18.86693,-16.74611,-30.19597,-27.09684,-18.08629,-22.0624,-21.35263,-19.68252,-21.28529,-15.24569,-22.89213,-17.75405,-21.85944,-17.97048,-103.9985926535898,-107.364,54.978614692820415,59.76038530717959,-30.327185307179587,78.46202203923062,10.234875307179585,-57.26557796076938,-134.54877796076937,1.6488514248714488,-24.628633267948963,-12.076980810512275,-49.98726326794896,-77.35818530717958,-17.024944078461235,-90.7264926535898,-141.8277044966673,-111.00462938564081,-91.39821918948772,-75.42458530717958
7,-15.45617,-17.82858,-22.38845,-22.09502,-20.72082,-19.98321,-18.91608,-16.75758,-29.09827,-27.27176,-17.96505,-22.3035,-21.39193,-19.42633,-21.36673,-15.22637,-23.36528,-17.53314,-22.8475,-18.41594,-104.821,-108.36059265358979,55.3625,60.257592653589796,-31.507770614359174,79.33843673205104,10.326595307179586,-58.59137796076938,-132.99340734641018,2.134436732051036,-24.39043592153876,-13.567329385640829,-49.421977960769375,-76.94327061435918,-15.476758771281649,-91.6957073464102,-142.52874122871833,-110.53718530717958,-91.67367796076938,-76.61009265358979
8,-15.51977,-17.84891,-22.14905,-22.03388,-20.82844,-20.12656,-18.74258,-16.65541,-28.41868,-28.31016,-18.21818,-23.05493,-21.31223,-19.72159,-20.97027,-15.24691,-23.72303,-17.48684,-22.98808,-18.36906,-103.8415926535898,-106.9065926535898,55.465907346410205,60.487785307179585,-32.89077061435917,79.53332938564083,8.92203,-57.31007796076938,-131.96785142487144,1.3552514248714473,-25.19241592153876,-14.980958771281657,-48.6959,-76.45464857512856,-16.024680810512272,-92.8948,-141.34092653589792,-110.30499999999999,-92.02695307179586,-76.99557796076938
9,-15.44701,-17.83651,-22.14267,-22.14075,-20.79726,-20.22474,-18.63022,-16.54517,-28.19976,-29.92571,-18.16174,-22.92168,-20.54308,-20.04504,-21.64027,-15.4515,-22.7507,-18.88359,-24.98288,-18.9621,-103.31,-107.7365926535898,55.14752203923062,61.22789265358979,-32.58157061435917,80.37612938564082,9.97165496076938,-57.21546326794896,-133.2805926535898,1.3564599999999964,-24.991185921538758,-14.66462938564083,-48.154907346410205,-75.82207061435918,-14.691358771281653,-93.6368853071796,-141.47696326794897,-111.06797061435915,-91.78756776461627,-78.27024407846123
