Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
0,-28.03423,-20.97468,-26.67782,-22.41523,-29.21233,-23.77857,-22.373,-33.92268,-24.38891,-26.23473,-24.85205,-27.18907,-34.9588,-21.69105,-28.63447,-26.66958,-16.79709,-19.58321,-23.09159,-22.56108,122.878,-123.01,75.221,-121.37,58.1532,-17.5244,103.565,-64.8848,-148.521,-65.661,-60.734,-5.08047,-68.6099,161.716,134.747,44.871,-108.252,134.335,61.4465,-33.9387
1,-28.88653,-21.18658,-26.55452,-20.89673,-34.34753,-26.14007,-21.3443,-26.52448,-21.13351,-37.55603,-23.86755,-22.00797,-33.9513,-21.89975,-27.60897,-22.30638,-15.00349,-17.55781,-17.75939,-19.03388,123.632,-121.88562938564083,76.01037061435918,-120.43018530717958,58.65981469282041,-18.044723267948967,102.49603388230814,-65.2099073464102,-149.57540734641023,-64.36044122871834,-60.04634122871835,-4.628336732051036,-68.58140569948579,161.095,135.5059044966673,46.034855921538764,-108.1231853071796,134.476,61.8763,-33.17425592153876
2,-28.18293,-20.60588,-24.90982,-20.58653,-31.09083,-28.39787,-19.366,-22.30488,-19.04641,-34.80083,-23.39445,-18.00627,-21.1603,-17.42005,-30.57277,-21.55518,-12.63639,-17.98251,-16.86359,-30.12748,124.5608146928204,-120.73144407846124,74.89271918948774,-119.14277796076938,58.98282938564083,-17.326597150257097,103.3281751110265,-66.64152203923062,-149.89362938564085,-65.17761798666926,-58.99439541820607,-5.037880810512277,-67.80296162102456,159.9023706143592,136.47374287564276,46.36714245743669,-109.23286326794897,135.94603673205103,61.8778,-34.308311228718345
3,-30.52513,-20.42758,-23.69102,-20.31733,-32.50623,-26.13617,-17.2774,-19.57588,-17.68431,-25.36933,-20.38465,-15.96447,-19.8505,-16.49485,-21.43397,-16.41478,-11.49739,-13.49561,-14.86859,-19.79538,123.45677796076937,-121.35266611769187,75.79460449666732,-118.97837061435918,59.7441101961531,-16.422053071795858,102.09307511102648,-67.18945142487145,-149.30385142487143,-66.02192982974677,-58.54813103256524,-6.33398081051228,-69.30433223538373,161.22137061435916,137.00901633974482,46.709457764616275,-108.98918530717958,135.87922203923063,61.72613673205104,-33.268897150257104
4,-30.02923,-19.70878,-22.31282,-19.12103,-31.60313,-24.21967,-15.1249,-16.65578,-15.73431,-22.29143,-18.63365,-12.71897,-16.0274,-13.18295,-15.62167,-13.39268,-8.98919,-12.08261,-15.18139,-18.51898,124.29422203923062,-120.42488815692248,74.36007511102649,-118.02696326794897,59.46818366025519,-16.629186954103986,101.80974572538565,-66.26504407846124,-150.36785142487145,-67.25537390820801,-59.77885837897544,-6.370488156922484,-67.86577631384498,161.60855592153874,136.15901633974482,45.98536245743669,-108.64518530717959,135.68744407846125,62.62003673205104,-33.954582457436686
5,-29.89173,-18.63918,-21.30172,-18.32733,-29.51483,-23.18437,-12.9733,-15.25088,-14.52171,-18.44253,-15.52575,-11.82447,-13.6951,-12.68115,-16.13027,-12.38648,-7.90459,-11.50581,-14.92159,-14.93428,123.89444407846125,-121.41629550333269,73.87386041820608,-117.13635592153875,59.443998353075585,-16.334057568463166,102.29294572538566,-66.81105142487145,-149.13285142487143,-66.10837390820801,-61.09720899333462,-6.381588156922483,-66.92377631384497,160.39574122871835,137.39906041820606,44.47935980384689,-108.4321853071796,135.56103673205104,61.31446611769187,-33.6509898038469
6,-32.21293,-18.75948,-19.99112,-17.84273,-24.51303,-21.03517,-12.2308,-14.60838,-13.78211,-17.09503,-15.30695,-10.43197,-11.5512,-11.77465,-15.25567,-11.82028,-8.12539,-9.30151,-10.05879,-14.97458,124.4574073464102,-120.1965175425633,72.83675307179587,-115.99996326794897,60.391220392306224,-16.85145022205296,101.35523837897546,-66.88515142487145,-148.79425877128165,-67.4485592153876,-59.904901646924415,-7.732202849742897,-68.17977631384497,161.26255592153876,137.93872368615502,45.37879511102648,-108.0225926535898,135.61666611769186,60.18868081051228,-32.29198245743669
7,-31.50293,-17.44748,-18.69022,-17.61433,-24.38763,-19.45157,-10.6061,-11.79468,-12.06071,-14.73283,-13.79445,-9.01707,-10.4029,-10.57935,-12.17797,-9.17458,-6.57539,-8.91101,-10.86629,-11.21998,124.81822203923062,-121.23092488897352,72.85506572538566,-115.33166326794897,60.955627738716416,-17.206250222052958,99.98533837897546,-65.84565877128165,-147.39925877128167,-68.5125592153876,-59.187208993334615,-6.1700101961531075,-67.99377631384496,161.48333388230813,138.48032368615503,44.55578511102648,-108.5845926535898,137.04244407846124,61.63846611769187,-32.634867764616274
8,-31.48643,-16.55598,-18.88622,-16.90423,-22.90323,-18.06677,-10.1282,-10.83958,-11.15151,-14.01763,-12.19375,-8.10117,-9.4419,-9.56415,-12.13987,-8.90058,-5.49959,-7.28971,-10.44789,-11.22858,125.35437061435917,-122.63133223538372,73.76568837897545,-115.38666326794898,62.31162773871641,-17.78344287564275,98.46283837897545,-65.67755877128165,-148.60025877128166,-67.4455592153876,-59.965701646924416,-6.730910196153104,-69.02818366025518,162.97833388230814,137.83302368615503,44.68435511102648,-108.295,135.54203673205103,60.24915142487146,-34.132367764616276
9,-39.74553,-16.09118,-17.31292,-16.45303,-21.44523,-17.06897,-8.9565,-9.90978,-10.40201,-12.19523,-10.97595,-7.05077,-8.7466,-8.31815,-10.90717,-7.23318,-5.02149,-6.98801,-9.08949,-10.16518,125.47262938564081,-121.31930209103035,72.69585803256525,-115.65715592153876,61.28244243153685,-19.32732818282234,99.97843103256525,-64.32696611769185,-148.02125877128165,-67.18796656179782,-59.65338695410401,-5.4947101961531075,-69.91218366025517,164.35792653589795,136.84473103256522,45.96716776461627,-107.5655926535898,134.19485142487144,60.90737346410208,-33.90245307179586
