Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
0,-14.44743,-24.12777,-19.36586,-27.71477,-33.39579,-26.52671,-17.77063,-30.02195,-22.60076,-28.02944,-37.87529,-24.00594,-20.72826,-20.49139,-22.08886,-19.66665,-21.73747,-32.3676,-32.98822,-30.58924,-89.9908,46.0558,-99.7063,41.0453,146.941,-49.3375,-68.8951,130.01,30.6852,-55.3901,-111.05,-139.832,109.175,-5.93923,-92.9303,137.586,11.6798,19.6151,-103.712,-70.97
1,-13.25104,-22.75052,-18.01335,-26.09966,-31.93498,-25.38169,-16.4938,-29.04044,-21.17521,-26.47029,-36.31087,-22.81744,-20.10322,-19.33127,-20.8511,-18.73965,-20.87723,-31.3065,-30.19703,-28.04576,-90.2572,46.2167,-99.0396,42.1809926535898,148.4621853071796,-49.09209265358979,-69.16590734641021,129.36948081051227,31.67152938564083,-54.11792938564082,-110.52762938564082,-140.28740734641022,110.02224857512854,-6.617592653589793,-93.92322203923062,138.2515926535898,10.515555307179586,20.092886509998067,-102.76496162102455,-70.91055427461434
2,-12.33408,-21.54693,-17.01325,-24.82308,-30.58153,-24.63347,-15.41199,-27.70343,-20.36675,-25.03809,-35.6041,-21.18966,-19.05562,-18.50249,-19.50428,-17.79175,-19.40789,-31.22847,-27.78451,-27.47936,-91.5191926535898,47.64309265358979,-99.9778,41.186585307179584,149.19296326794898,-49.38108530717959,-70.5798,129.7581853071796,31.07792938564083,-52.938814692820415,-110.10868245743669,-140.878,108.5615926535898,-6.350804007179586,-94.0760926535898,137.9298146928204,11.76673673205103,18.77242653589791,-103.6311101961531,-71.96860734641022
3,-12.51736,-21.53623,-16.96915,-24.50437,-30.41073,-25.04163,-15.31006,-27.88792,-20.54162,-24.82086,-36.65387,-21.5089,-19.48976,-18.4845,-18.6739,-18.18218,-19.06994,-31.12969,-26.38719,-27.21815,-90.5531,49.1235,-99.2911,41.78569265358979,150.21822203923062,-48.0291073464102,-71.6774926535898,129.30496326794898,30.39885142487145,-53.986907346410206,-110.05861918948771,-140.32722203923063,107.1485926535898,-5.0090373464102065,-93.00957796076938,136.67059265358978,12.209829385640823,18.677310196153073,-104.51912287564276,-72.08090000000001
4,-12.55832,-21.33452,-16.92659,-24.26042,-30.70691,-25.04888,-15.27233,-27.4427,-20.32492,-24.33897,-36.32122,-21.17437,-19.57098,-18.18891,-18.41568,-18.45715,-18.42569,-31.0741,-26.23199,-26.82552,-90.0128,49.819985307179586,-99.484,41.11109265358979,149.0894073464102,-49.21610734641021,-72.4638073464102,128.5215926535898,29.528651424871445,-54.185614692820415,-108.6484971502571,-141.58181469282042,107.72181469282042,-6.45039,-93.73777061435918,136.21577796076937,13.579277960769371,17.43596061435915,-105.5970620651305,-71.79684977794705
5,-12.51805,-21.06282,-16.84232,-23.78843,-30.25712,-25.60493,-15.34247,-27.12307,-20.72922,-24.3396,-35.56054,-21.27749,-19.49532,-18.44735,-18.63261,-18.41986,-19.00321,-30.73148,-25.73463,-27.52263,-89.4907,51.35177796076938,-98.1243,40.422507346410214,148.71822203923062,-50.0721,-70.9578073464102,128.20637061435917,30.670458771281652,-52.71640734641021,-107.27358245743667,-142.19259265358977,108.23240734641021,-5.6568963071795855,-94.9261073464102,135.99040734641022,15.020922039230612,16.32947916358785,-106.10838980384692,-72.58607346410209
6,-12.52409,-20.96128,-16.848,-23.79105,-30.30642,-25.7485,-15.30255,-26.73014,-20.94645,-24.57166,-36.72591,-20.97176,-19.21765,-18.53292,-18.25239,-18.3187,-18.51474,-27.17978,-26.18964,-29.30553,-88.4762,52.26437796076938,-96.6085073464102,41.174122039230625,148.49640734641022,-50.01347796076938,-70.10860734641021,128.41377796076938,30.239236732051037,-53.37361469282041,-106.88430552923255,-142.14577796076938,108.76740734641021,-4.807763267948966,-94.0344073464102,136.36418530717958,14.337492653589786,16.44235427461433,-107.48381522205298,-71.18041918948775
7,-12.50412,-20.95153,-16.86107,-23.76348,-30.94579,-25.719,-15.26769,-26.78574,-21.09007,-24.65289,-35.21431,-21.64972,-19.29184,-18.53833,-18.43165,-18.17736,-19.16189,-25.41243,-26.39331,-28.87755,-88.3994,51.53918530717959,-98.1263,40.4401073464102,149.8151853071796,-51.0708,-70.25981469282041,127.86355592153876,29.066144078461242,-52.09946326794896,-105.66044407846124,-140.90240734641023,109.0464073464102,-3.67254,-93.46947796076938,137.85396326794896,13.710592653589787,17.347520836412116,-108.8657604182061,-70.89055427461437
8,-12.53576,-20.78604,-16.86059,-23.71876,-31.05558,-25.80982,-15.29663,-26.42185,-21.08977,-24.44523,-34.44865,-20.97411,-19.19728,-19.02203,-18.87973,-18.2382,-19.01565,-25.12805,-27.80709,-29.16522,-89.0602,51.417477960769375,-98.5206,41.43000734641021,148.968,-50.23596326794896,-71.2665,128.72177796076937,28.60856611769186,-50.6271,-107.11136896743474,-140.6434073464102,110.075,-4.893147346410206,-93.54562938564082,137.94322203923062,14.233729385640823,18.084627738716392,-110.29943103256525,-72.07298530717962
9,-12.56822,-20.63705,-16.86743,-23.61482,-31.72848,-26.15043,-15.31581,-25.60379,-21.4853,-24.45086,-33.89478,-20.77134,-18.88894,-19.81189,-18.96264,-18.16134,-19.68992,-24.00581,-25.43792,-29.52361,-88.0166,50.8539926535898,-99.3579,41.1734073464102,149.42940734641022,-49.518185307179586,-71.1727073464102,127.66814857512857,28.77436611769186,-51.12932938564083,-107.31666611769185,-141.2351853071796,111.493,-4.019417346410207,-93.19207796076938,136.4944073464102,15.052085921538751,17.341276313844944,-111.21923388230815,-71.52515186897742
