Zenith(Degree),GaindB(50MHz),GaindB(100MHz),GaindB(150MHz),GaindB(200MHz),GaindB(250MHz),GaindB(300MHz),GaindB(350MHz),GaindB(400MHz),GaindB(450MHz),GaindB(500MHz),GaindB(550MHz),GaindB(600MHz),GaindB(650MHz),GaindB(700MHz),GaindB(750MHz),GaindB(800MHz),GaindB(850MHz),GaindB(900MHz),GaindB(950MHz),GaindB(1000MHz)
0.0,-15.76283,-0.58158,1.64538,0.52147,-0.65623,-2.52227,-3.3171,-37.31838,-10.36561,-6.24933,-3.83315,-1.39907,-2.3033,-1.98595,-3.82607,-7.37558,-10.35109,-12.36201,-9.24459,-7.52848
1.0,-15.76353,-0.50518,1.65878,0.55947,-0.59393,-2.44137,-3.2457,-30.56568,-10.25321,-6.02393,-4.30675,-1.28357,-2.3555,-1.60325,-3.45797,-7.60828,-11.15889,-14.33131,-9.00819,-9.24048
2.0,-15.90473,-0.54848,1.60898,0.48577,-0.47463,-2.28507,-3.1292,-28.88708,-10.85831,-5.87353,-4.26975,-1.33267,-2.0914,-1.49255,-3.76957,-7.56668,-12.04169,-13.35451,-9.06969,-7.03518
3.0,-16.21813,-0.52668,1.62948,0.50867,-0.46213,-2.14797,-3.0381,-30.24228,-10.76941,-5.99243,-4.30595,-1.49407,-2.4732,-1.40215,-3.32767,-7.30978,-10.85119,-15.59461,-9.28959,-7.76238
4.0,-15.92013,-0.59008,1.57678,0.45637,-0.55063,-2.11167,-3.1037,-27.65568,-11.13771,-6.11713,-4.63245,-1.66227,-2.2239,-1.66675,-3.40537,-7.53738,-11.03179,-12.50991,-9.44229,-7.53868
5.0,-15.88223,-0.53198,1.57148,0.43917,-0.45023,-1.96107,-3.0776,-25.52048,-11.19341,-6.13193,-4.58585,-1.42137,-2.1775,-1.60105,-3.63857,-7.46908,-11.42569,-11.83791,-9.69519,-7.11698
6.0,-15.90193,-0.49938,1.55598,0.37557,-0.44673,-1.82977,-3.444,-23.12998,-11.37671,-6.18943,-4.97325,-2.13027,-2.5665,-1.66685,-3.34787,-7.80978,-9.50969,-10.96091,-10.30379,-9.01528
7.0,-15.73843,-0.52688,1.56938,0.34387,-0.46863,-1.70077,-3.4309,-20.95218,-10.89891,-6.78793,-5.64855,-2.35997,-2.7835,-1.80815,-3.81357,-7.09158,-9.52749,-9.06441,-10.57309,-8.34998
8.0,-16.63283,-0.55528,1.48598,0.34147,-0.52383,-1.72347,-3.6175,-19.07768,-11.66331,-6.32503,-5.78985,-2.97077,-3.1432,-1.92135,-3.85027,-7.14438,-8.97079,-8.66801,-10.69599,-8.63038
9.0,-16.22643,-0.50378,1.51818,0.26177,-0.41173,-1.76437,-3.8041,-17.00628,-11.28091,-6.55073,-6.38775,-3.96567,-3.6864,-2.61385,-4.25077,-7.27508,-8.52529,-7.79541,-9.35589,-9.90808
10.0,-16.06463,-0.59308,1.44928,0.21247,-0.60533,-1.63957,-4.1046,-15.77978,-11.17801,-6.94933,-6.78675,-4.66067,-3.9545,-3.25385,-4.52867,-7.00908,-7.02969,-6.01501,-8.68449,-10.33518
11.0,-16.37353,-0.59588,1.44878,0.10807,-0.57703,-1.68077,-4.271,-13.79898,-10.51641,-6.64183,-7.09555,-5.55117,-4.7552,-3.87275,-4.44307,-6.50958,-5.85749,-5.78721,-7.40599,-9.82408
