Zenith(Degree),GaindB(50MHz),GaindB(100MHz),GaindB(150MHz),GaindB(200MHz),GaindB(250MHz),GaindB(300MHz),GaindB(350MHz),GaindB(400MHz),GaindB(450MHz),GaindB(500MHz),GaindB(550MHz),GaindB(600MHz),GaindB(650MHz),GaindB(700MHz),GaindB(750MHz),GaindB(800MHz),GaindB(850MHz),GaindB(900MHz),GaindB(950MHz),GaindB(1000MHz)
0.0,-15.08313,-17.70008,-22.37012,-20.15333,-32.01703,-18.90617,-17.0244,-20.21588,-18.99131,-23.12263,-22.95035,-19.06977,-28.0495,-32.33805,-25.38967,-27.79368,-31.12689,-24.88541,-29.63689,-26.60268
1.0,-15.70983,-17.92468,-22.40112,-20.20333,-34.90153,-18.70937,-16.8246,-18.40398,-19.21331,-22.19543,-22.67295,-17.22797,-30.9695,-29.85595,-29.04127,-26.77798,-25.49949,-32.21961,-27.38449,-32.45628
2.0,-15.53383,-17.95948,-23.06802,-20.67353,-38.08283,-18.92807,-17.6035,-18.67958,-17.55011,-21.32333,-21.08185,-18.42767,-23.8924,-23.17145,-27.62887,-23.43818,-24.73779,-29.57541,-31.41159,-28.35048
3.0,-15.96313,-18.17068,-22.85442,-20.00723,-34.15913,-18.82377,-16.976,-19.46958,-19.24611,-22.46363,-21.29295,-19.95487,-26.5094,-26.27355,-22.33947,-22.69688,-23.77199,-29.18681,-28.75079,-24.62138
4.0,-15.38683,-18.28548,-21.20802,-20.11213,-34.53723,-18.27287,-17.7739,-19.24158,-19.37701,-25.69433,-20.54415,-17.71237,-31.6512,-22.24145,-25.16677,-22.46908,-23.87079,-26.06821,-27.88639,-29.08278
5.0,-15.69273,-17.85038,-21.84782,-19.91493,-37.46273,-18.12357,-17.3449,-20.03918,-19.57381,-24.71703,-21.43785,-18.45207,-24.7143,-22.58895,-24.61267,-29.74578,-23.35619,-27.44511,-25.14899,-30.25758
6.0,-15.71193,-18.31678,-21.33252,-19.13903,-38.52093,-18.02507,-17.6917,-19.02858,-19.19441,-23.12293,-20.17345,-17.29267,-26.7365,-21.47675,-25.96947,-29.45578,-22.69189,-33.69191,-21.62929,-26.86038
7.0,-15.17773,-18.21868,-21.51032,-19.96203,-41.12163,-17.37497,-16.7534,-18.43548,-19.11831,-23.24143,-20.00395,-20.00127,-26.1398,-21.23195,-25.98407,-21.50538,-25.46209,-26.17681,-30.00219,-24.31128
8.0,-15.08253,-18.33508,-21.25122,-19.86153,-46.74843,-17.43897,-18.0525,-18.99588,-20.57531,-25.91203,-18.96835,-19.36017,-21.9458,-20.86075,-22.33287,-35.19618,-23.40739,-31.68551,-21.52529,-23.27608
9.0,-15.10483,-18.22328,-20.58122,-19.83643,-44.30983,-17.15837,-17.8182,-18.98638,-20.55691,-24.72133,-20.94685,-23.71627,-25.344,-25.94135,-24.19797,-28.52978,-22.08719,-30.03021,-25.46539,-27.01338
10.0,-15.21503,-18.10608,-20.49112,-20.62613,-37.75663,-17.18387,-17.6847,-18.92248,-21.56941,-23.98093,-21.51525,-20.45467,-21.0845,-25.11985,-25.73067,-28.10768,-25.20889,-25.15541,-30.41099,-33.95108
11.0,-15.39513,-18.26468,-20.49282,-19.48373,-42.38533,-16.16387,-16.9076,-20.11938,-22.37751,-29.04463,-19.89125,-24.03267,-28.9875,-24.35065,-36.02217,-39.15218,-28.05109,-41.79761,-30.33599,-27.26638
12.0,-15.09123,-18.12658,-19.90042,-20.06213,-47.38723,-16.67277,-17.4353,-20.19488,-21.13781,-26.78513,-22.07305,-22.20987,-22.8856,-27.97915,-37.39807,-33.02248,-22.96649,-32.35221,-23.75599,-24.78748
13.0,-14.96393,-18.01338,-20.14402,-20.02403,-43.32543,-16.13927,-17.9948,-19.84388,-21.78901,-28.06653,-23.24055,-23.17347,-26.6749,-27.41765,-36.24497,-30.80898,-23.05159,-32.13181,-22.93279,-31.93818
14.0,-14.75103,-18.36838,-20.39792,-19.79493,-35.86093,-16.24097,-17.3827,-19.81608,-22.04081,-28.05473,-22.80655,-27.18997,-27.0884,-28.46535,-36.99887,-31.78658,-20.83409,-25.89881,-31.72959,-23.22868
15.0,-15.09693,-18.39118,-19.18602,-20.39683,-40.24053,-16.22577,-18.0336,-19.03168,-23.14371,-29.96683,-21.26285,-23.47877,-29.5214,-28.95755,-41.82207,-26.98428,-22.50449,-26.27401,-29.11439,-31.70378
16.0,-15.01663,-18.46548,-20.11512,-19.76633,-44.98933,-15.90967,-17.89,-20.07288,-22.50791,-26.92183,-22.80605,-21.59387,-29.3628,-23.90365,-27.83337,-35.12808,-21.31829,-26.56751,-38.65309,-19.01308
17.0,-15.18523,-18.15658,-19.28112,-20.27153,-39.19883,-16.73597,-17.6503,-21.76468,-21.49311,-26.84453,-21.64715,-19.28327,-25.2444,-26.20685,-30.79397,-52.37438,-21.12699,-39.81161,-35.66809,-31.50088
18.0,-14.83703,-17.71008,-18.81142,-19.69903,-36.32353,-15.63887,-17.6252,-20.45248,-21.72471,-30.51743,-21.39195,-22.52627,-29.6514,-29.07975,-29.53457,-28.04968,-21.95289,-31.05001,-38.35279,-28.74198
19.0,-14.43323,-18.05388,-18.90912,-20.30983,-39.94903,-15.56397,-17.3235,-21.65128,-22.87861,-31.47093,-23.00565,-22.84307,-27.5641,-30.71045,-31.08217,-28.30298,-26.99919,-30.49271,-30.87889,-30.67218
20.0,-14.75903,-17.85108,-18.66552,-19.60903,-37.28383,-15.64907,-17.1171,-22.21858,-25.73071,-28.69243,-20.99025,-19.75927,-29.4848,-27.60395,-29.70557,-22.99768,-20.56049,-30.19701,-24.37369,-17.90858
21.0,-14.80723,-18.67618,-18.56312,-21.04573,-35.47663,-15.43237,-17.3112,-20.18788,-25.08761,-31.05973,-22.61575,-23.33517,-29.6847,-26.84755,-30.89327,-25.02878,-21.63689,-21.72031,-23.47319,-19.78648
22.0,-14.93193,-18.26908,-18.98822,-20.49183,-35.71463,-16.02187,-17.2942,-21.79978,-23.59481,-27.20183,-20.65845,-19.02237,-24.3775,-21.80855,-32.13437,-31.65228,-24.65799,-28.48101,-36.62259,-21.62978
23.0,-15.03833,-18.34228,-18.46492,-20.32433,-35.42623,-15.62997,-18.0002,-21.81888,-25.20941,-29.84183,-22.59925,-21.23597,-26.4051,-25.97675,-26.06877,-23.98538,-22.15269,-27.27531,-35.59629,-27.91048
24.0,-14.88693,-18.28748,-18.12092,-20.77513,-31.41853,-14.64657,-18.0857,-23.58718,-27.89581,-29.67023,-22.53385,-20.09177,-22.707,-25.31185,-35.68237,-21.76648,-23.75109,-33.80651,-31.55049,-26.95798
25.0,-14.78803,-18.06268,-18.54642,-21.78503,-36.56943,-14.81947,-17.6517,-21.85048,-26.42181,-25.65133,-22.54505,-20.29967,-24.1356,-21.60645,-32.71097,-24.77478,-25.22879,-29.50441,-24.53289,-20.31278
26.0,-14.74483,-18.15518,-17.70952,-20.79303,-31.93353,-15.29127,-17.772,-21.99298,-28.32641,-27.71073,-21.08795,-19.57217,-19.8207,-21.87525,-36.84077,-26.32958,-25.56709,-33.41281,-27.47349,-29.32948
27.0,-14.38793,-18.82648,-17.86442,-21.88903,-31.47323,-15.05217,-18.189,-26.08568,-27.60101,-26.46213,-21.45745,-19.38177,-22.1033,-23.15015,-33.03597,-23.93998,-33.84709,-30.96671,-24.30769,-19.80828
28.0,-14.99683,-18.68578,-17.42722,-20.68693,-34.28103,-15.51037,-17.5477,-22.74748,-24.69731,-25.37633,-20.58055,-19.33267,-20.734,-23.99425,-29.54457,-24.70178,-24.30159,-22.61251,-26.90899,-21.45078
