Zenith(Degree),PhaseDegree(50MHz),PhaseDegree(100MHz),PhaseDegree(150MHz),PhaseDegree(200MHz),PhaseDegree(250MHz),PhaseDegree(300MHz),PhaseDegree(350MHz),PhaseDegree(400MHz),PhaseDegree(450MHz),PhaseDegree(500MHz),PhaseDegree(550MHz),PhaseDegree(600MHz),PhaseDegree(650MHz),PhaseDegree(700MHz),PhaseDegree(750MHz),PhaseDegree(800MHz),PhaseDegree(850MHz),PhaseDegree(900MHz),PhaseDegree(950MHz),PhaseDegree(1000MHz)
0.0,92.0165,-56.9947,130.939,15.5945,-90.547,170.115,23.7226,-27.3907,-7.35093,-105.59,158.456,56.3117,-35.8674,-131.543,124.573,24.246,-45.3064,-68.578,-127.997,141.135
1.0,94.1797,-56.5293,131.034,15.6348,-90.4288,170.595,23.4633,-78.5486,-4.93988,-103.532,159.191,57.7425,-38.6004,-131.238,127.4,26.3915,-35.6456,-73.7589,-129.798,146.661
2.0,91.7863,-56.2767,131.493,16.3052,-89.3956,171.192,25.0996,-70.9253,-3.48048,-105.037,160.682,58.4565,-35.956,-129.446,128.239,23.337,-37.6145,-58.877,-128.025,149.096
3.0,93.6346,-56.7037,131.654,17.1543,-89.6195,171.865,25.479,-53.8235,-6.12014,-102.809,160.984,57.742,-34.1728,-129.763,128.691,25.1091,-27.9923,-84.0304,-121.024,145.919
4.0,93.064,-55.6867,132.451,17.8048,-88.9209,171.953,26.658,-32.5122,-5.80377,-106.787,163.009,59.2945,-31.9593,-126.422,126.254,31.5591,-33.8929,-78.9914,-129.93,151.333
5.0,94.2065,-55.7442,132.837,18.1106,-88.4272,173.376,27.0347,-24.2874,-7.94422,-106.016,162.493,59.4286,-30.756,-125.438,129.242,33.5203,-24.2685,-80.1547,-122.757,140.877
6.0,91.7111,-55.5474,132.751,18.8243,-87.6077,174.017,29.2691,-21.9715,-8.39061,-108.5,161.154,59.3121,-29.8725,-125.073,132.323,34.5082,-13.7762,-92.7182,-130.754,139.155
7.0,94.554,-55.2688,132.349,19.2363,-87.4211,174.803,29.763,-11.5205,-10.9444,-110.857,160.979,58.0591,-28.4167,-121.935,135.567,38.3547,-15.4726,-92.1506,-133.899,133.756
8.0,94.7729,-54.9242,133.456,19.8105,-86.0323,175.346,31.5518,-8.08646,-20.9499,-115.517,157.054,59.0602,-23.98,-121.168,142.561,48.5238,-10.1049,-91.123,-147.486,134.165
9.0,94.8494,-55.0183,133.287,20.0629,-86.07,176.186,34.2397,-2.73691,-28.1074,-119.437,157.326,57.8142,-22.9637,-117.39,145.529,53.3122,-10.2204,-88.1237,-153.942,125.093
10.0,97.6909,-54.7732,133.735,20.6562,-85.475,178.216,36.7185,8.96172,-32.9272,-127.117,153.426,58.4647,-17.879,-114.673,150.189,59.8636,-3.85902,-94.111,-163.013,117.811
11.0,94.2747,-53.9629,133.965,21.8744,-85.0612,179.513,40.3268,9.64402,-39.0947,-128.874,150.29,58.4101,-18.8421,-108.982,156.715,67.1822,2.44335,-88.7672,-167.798,112.807
12.0,98.4736,-53.773,134.908,22.0655,-83.1613,-178.823,43.7918,10.0255,-43.7943,-135.875,144.768,51.0854,-14.5134,-108.939,160.882,74.6061,1.93136,-93.8686,-170.683,104.259
13.0,99.1078,-53.7811,134.999,22.8794,-82.3681,-178.483,46.3183,12.4845,-49.0636,-142.827,140.73,52.568,-16.4896,-102.617,166.983,79.6726,2.72855,-96.3671,-170.717,100.875
14.0,98.8902,-53.8926,135.131,23.8482,-81.4896,-177.479,50.4378,16.8712,-53.1983,-146.51,135.265,49.0476,-10.5143,-98.536,172.396,83.9965,6.97845,-89.2423,-170.581,94.3408
15.0,99.7918,-53.4185,135.694,24.5472,-80.8634,-175.324,56.0538,19.7635,-55.5335,-149.858,127.866,39.2357,-9.74667,-90.5163,176.945,89.6119,7.78959,-90.9522,-176.637,99.9651
16.0,97.4998,-53.2194,135.961,24.6497,-79.7741,-174.434,59.6394,20.7702,-59.3978,-153.205,119.88,30.9144,-8.09527,-88.8725,-179.22,92.0663,11.9272,-87.143,-171.439,100.936
17.0,99.532,-53.1685,136.359,25.7158,-78.4054,-172.25,66.6514,21.6663,-58.2982,-159.559,114.315,17.8383,-3.29808,-82.9045,-171.657,98.9444,12.9434,-84.8273,-169.441,94.1587
18.0,97.4379,-52.6751,136.361,25.9756,-77.2993,-171.084,73.1967,23.55,-62.2832,-162.126,108.656,10.5847,-3.89584,-77.5336,-168.388,103.372,12.6927,-86.4385,-168.306,96.8471
19.0,96.137,-52.1542,136.622,26.8308,-76.505,-169.372,79.9613,27.1727,-62.972,-163.758,101.464,-4.23775,-0.747704,-74.3854,-167.377,105.571,11.9891,-81.0364,-163.029,114.178
