Zenith(Degree),PhaseDegree(50MHz),PhaseDegree(100MHz),PhaseDegree(150MHz),PhaseDegree(200MHz),PhaseDegree(250MHz),PhaseDegree(300MHz),PhaseDegree(350MHz),PhaseDegree(400MHz),PhaseDegree(450MHz),PhaseDegree(500MHz),PhaseDegree(550MHz),PhaseDegree(600MHz),PhaseDegree(650MHz),PhaseDegree(700MHz),PhaseDegree(750MHz),PhaseDegree(800MHz),PhaseDegree(850MHz),PhaseDegree(900MHz),PhaseDegree(950MHz),PhaseDegree(1000MHz)
0.0,92.0165,-56.9947,130.939,15.5945,-90.547,170.115,23.7226,-27.3907,-7.35093,-105.59,158.456,56.3117,-35.8674,-131.543,124.573,24.246,-45.3064,-68.578,-127.997,141.135
1.0,91.0381073464102,-56.5293,131.034,15.6348,-90.4288,170.595,23.4633,-28.283117542563303,-8.081472653589792,-106.6735926535898,159.191,57.7425,-35.45880734641021,-131.238,124.25840734641021,23.249907346410208,-45.07037796076938,-67.47571469282042,-126.6564073464102,140.3778146928204
2.0,91.7863,-56.2767,131.493,16.3052,-89.3956,171.192,21.958007346410206,-26.94300284974289,-6.622072653589793,-108.1785926535898,160.682,58.4565,-35.956,-132.58759265358978,125.09740734641021,23.337,-43.897685307179586,-68.30177796076939,-128.025,139.67122203923063
3.0,90.49300734641021,-56.7037,131.654,17.1543,-89.6195,171.865,22.337407346410206,-25.54916611769186,-6.12014,-109.09218530717959,160.984,57.742,-37.31439265358979,-132.9045926535898,125.5494073464102,21.96750734641021,-43.70026326794897,-68.32243673205103,-127.3071853071796,139.63581469282042
4.0,89.9224073464102,-55.6867,132.451,17.8048,-88.9209,171.953,23.516407346410208,-26.229014692820407,-5.80377,-109.9285926535898,159.8674073464102,59.2945,-38.242485307179585,-132.7051853071796,126.254,22.13432203923062,-43.31767796076937,-69.56662203923062,-126.78840734641021,138.76662938564084
5.0,91.06490734641021,-55.7442,132.837,18.1106,-88.4272,173.376,23.893107346410208,-27.428992653589788,-4.8026273464102065,-109.1575926535898,159.3514073464102,59.4286,-37.03918530717959,-131.72118530717958,126.1004073464102,20.953929385640826,-43.118055921538755,-70.72992203923063,-125.8985926535898,137.73540734641023
6.0,91.7111,-55.5474,132.751,18.8243,-87.6077,174.017,22.985914692820415,-28.254685307179578,-5.2490173464102075,-108.5,158.0124073464102,59.3121,-36.15568530717958,-131.35618530717957,126.03981469282041,21.94182938564083,-42.05053388230814,-70.72705142487143,-124.4708146928204,139.155
7.0,91.4124073464102,-55.2688,132.349,19.2363,-87.4211,174.803,23.479814692820415,-27.22846326794896,-4.661214692820414,-107.7154073464102,157.83740734641023,58.0591,-34.699885307179585,-131.35977796076938,126.14222203923063,22.646736732051036,-40.605341228718345,-70.15945142487143,-124.47422203923063,140.0391853071796
8.0,91.63130734641021,-54.9242,133.456,19.8105,-86.0323,175.346,22.12702203923062,-26.936015921538754,-5.241936732051034,-109.2338146928204,157.054,59.0602,-33.40477796076938,-130.59277796076938,126.85303673205104,23.391058771281656,-41.52082653589793,-69.13185142487146,-125.49485142487144,140.44818530717959
9.0,91.7078073464102,-55.0183,133.287,20.0629,-86.07,176.186,21.673329385640827,-27.86965122871834,-6.116251424871447,-110.01222203923062,157.326,57.8142,-32.38847796076938,-129.95637061435917,126.67944407846124,21.896273464102066,-41.63632653589793,-69.27414407846123,-125.66766611769187,140.80096326794896
