Frequency(MHz),Z_A (TVPol),Z_A (BVPol),Z_A (HPols)
50.0,(-0.6245744336804114-20.766035659105285j),(0.92426512199029-33.6135930659419j),(1.1530437534771298-14.518279782017107j)
51.1875,(-0.10487439074494352-20.067896920600052j),(1.0398099347964456-31.336751499573325j),(1.2986513876116474-12.441782608827024j)
52.375,(-1.0105891383171983-18.910853751195525j),(0.7731071137236748-29.259712791414618j),(1.1805678553595644-10.308558874476235j)
53.5625,(-1.4844564695632507-15.465133904482757j),(1.8017401815374383-27.331892672986246j),(1.9175959014241721-8.05461636541121j)
54.75,(-0.7146424645825361-15.844994106337701j),(2.0990292525183443-25.953803493325854j),(2.9426160021853893-6.106560004053666j)
55.9375,(-0.25323276806882394-13.554558533131503j),(2.00080767025297-23.73294488355161j),(4.873028420018645-3.6841989894340506j)
57.125,(-0.17107487981928243-12.857047115723645j),(2.552256697088471-21.429357783529667j),(8.257215474333716-6.85616982979311j)
58.3125,(-1.1846900839542303-11.662099911420883j),(3.614306133589507-19.27796478868473j),(2.9744969925799123-6.704453630288708j)
59.5,(-1.9166033709280328-9.220207512905796j),(6.1963810198655445-17.063820669172966j),(3.2647292836426947-2.7382986885594223j)
60.6875,(-1.2053415408884645-6.6920642152164564j),(10.416041021358057-17.700511015448967j),(4.996999689222486-1.9130720185375851j)
61.875,(-0.173259112574238-5.503002577014479j),(10.45597217098842-22.726675863977974j),(4.215998737303986-2.2279794627524256j)
63.0625,(-0.20807349568956576-4.9869713296521345j),(5.4477371537768455-23.575917319341084j),(2.585936633724539-0.6398665078609865j)
64.25,(-1.0881076445509-3.5726229850453644j),(3.054341755761073-21.331136890164334j),(1.9312939363706145+1.3315811918608513j)
65.4375,(-1.3128846408828183-0.9780376565044319j),(1.9683588748424548-18.61871140077217j),(1.6813623637488497+3.4373527498581136j)
66.625,(-0.3635696144241677+1.2621594112611785j),(1.4763387408948112-16.19671319477738j),(1.591353980729801+5.488697719144683j)
67.8125,(0.5127418211851584+2.247162226206361j),(0.9989499049173575-14.257691441300555j),(1.440246748624064+7.648426215099468j)
69.0,(0.3695509462512201+3.16362989947263j),(1.2432490516525334-12.35152654104709j),(1.6133490302106177+9.656432349782552j)
70.1875,(0.15116036717436673+5.259820294180138j),(1.227485431726073-10.353195079093844j),(1.7875909880013336+12.103275896601398j)
71.375,(1.5660442251747984+7.719796922274841j),(1.75818297997487-8.033682293522226j),(2.8232714742131906+14.614509308780567j)
72.5625,(3.8742568514001268+8.142476358022895j),(2.929598845330269-5.710078991087972j),(5.857454811528257+16.50115867784293j)
73.75,(4.385237157891244+6.745002204083699j),(6.342699895173746-5.047564566900683j),(6.640446852788729+13.77433544400882j)
74.9375,(2.7012727174762325+6.276896127715476j),(4.374064602051635-8.45251917854658j),(3.194295033698854+15.350075268709105j)
76.125,(0.7373664273398685+7.83064560694811j),(1.8189565179883045-5.002600206107451j),(2.314947161483184+19.021598222087015j)
77.3125,(0.19905587249448434+10.500184811042505j),(2.2784694318384138-1.5435867056505355j),(3.5546058062292647+22.920549818321142j)
78.5,(0.7898323759204398+12.369441922941004j),(4.2254493325672+1.4630069853725707j),(7.898343347649736+25.65799723015834j)
79.6875,(0.715907200221124+13.115738523279111j),(9.306771839570894+3.0302436039241405j),(10.014156081357543+21.059445180389698j)
80.875,(-0.4546055065385139+14.269321181833694j),(12.677985045210784-2.766295791642947j),(6.219709301661202+21.19711847438298j)
82.0625,(-1.3844882133942082+16.702870262252844j),(7.763702499923151-6.040886069876185j),(4.507956652820201+23.772073751990185j)
83.25,(-0.7706810840920102+19.58644158622957j),(4.389071080144274-4.131215242649334j),(4.045402014350989+26.213882682595358j)
84.4375,(0.3252808996069694+21.104697803087692j),(2.972984165582543-1.9659688962093516j),(3.5688367538980246+28.999240929821028j)
85.625,(0.24968888563268332+21.91118315302227j),(2.1637418262068957+0.07227804896379827j),(3.2748556046671378+31.686318731974854j)
86.8125,(-0.9759677722050227+23.504857482612657j),(1.9363659577633043+2.180074478159914j),(3.70714457970279+34.24933342210246j)
88.0,(-1.5809243742663377+26.523171552487764j),(1.7797102861914833+3.8227355048608644j),(3.8499897852957488+36.77074361564878j)
89.1875,(-0.6017256921301586+29.34225772866086j),(1.5290319353778066+5.5014679128943955j),(3.791214272697596+39.90775705330648j)
90.375,(0.533381991441663+30.64581830879586j),(1.5173009488509301+6.971993503878709j),(4.045682739926302+42.86957500612658j)
91.5625,(-0.03634701602136719+31.576064260343635j),(1.7116043171318154+8.731602006469654j),(4.753250205012375+45.846963150078984j)
92.75,(-1.4664175835075193+33.84047879914914j),(1.6867633464471166+10.525755048128715j),(5.563489944621141+49.7125036425344j)
93.9375,(-1.6889454759568816+37.50809563227194j),(1.9825226137057432+12.626689163986885j),(7.005939206477209+54.36990617997685j)
95.125,(-0.21443212640612608+40.644321913650714j),(2.7299456064734584+15.049597668013279j),(11.736032471542634+59.53492010810272j)
96.3125,(0.7512713290348217+42.04720022666441j),(6.403592402608362+18.27511203352718j),(19.687802700814043+54.11137414213677j)
97.5,(-0.36554982833299476+43.72429261698345j),(9.919230728081887+11.002308125808602j),(10.81957199618173+53.52553930459628j)
98.6875,(-2.0004306854236376+47.458170806384985j),(3.2031041243620137+11.883251418602542j),(9.811907926630536+60.8241635563626j)
99.875,(-1.8498798984233664+52.55636567495598j),(1.863880081118024+14.889235990071567j),(9.94438201434551+67.10549518260129j)
101.0625,(0.14645299907844872+56.14629245832564j),(1.5493971746031976+17.337477790074736j),(12.74884049318767+73.51989402680313j)
102.25,(0.7863144206900309+57.83613978690308j),(1.5539953941959135+19.441631905802137j),(16.75077050214793+79.74849630123114j)
