Frequency(MHz),S11,Impedance
50.0,(-0.63496768+0.61235428j),(3.638963513634084+20.08972365884179j)
54.75,(-0.33848092+0.82047975j),(4.305637196319764+33.288988258739714j)
59.5,(0.029147899+0.85547692j),(7.982277453921531+51.09171631783514j)
64.25,(0.33185735+0.76647234j),(14.62387440207991+74.13448644960516j)
69.0,(0.57868546+0.58639222j),(30.810400445616494+112.47318954715885j)
73.75,(0.70357853+0.33617818j),(97.56039459245234+167.35152448360935j)
78.5,(0.79587764+0.029907282j),(429.6064881093394+70.27023638623257j)
83.25,(0.72548187-0.32031566j),(104.25631737425738-179.99071357838812j)
88.0,(0.5046435-0.55718666j),(39.11933717052503-100.2431699583203j)
92.75,(0.20721093-0.6815058j),(22.535654209810932-62.35387308099565j)
97.5,(-0.15245005-0.6356582j),(16.53090925017633-36.696530160530976j)
102.25,(-0.39408073-0.38200825j),(16.721856906502914-18.283230838147794j)
107.0,(-0.35566747-0.091633499j),(23.42891974433058-4.963273806343672j)
111.75,(-0.15796649+0.0082990788j),(36.35384928790255+0.618893038885458j)
116.5,(-0.050504774-0.07631138j),(44.692644884963684-6.878718294165049j)
121.25,(-0.11667676-0.19154078j),(36.99197873540207-14.921517181679613j)
126.0,(-0.29059321-0.210852j),(25.46934156192591-12.329881703790464j)
130.75,(-0.43962994-0.095828287j),(19.155876916585925-4.603328283724963j)
135.5,(-0.49050924+0.10541946j),(16.757222518085335+4.721547616139835j)
140.25,(-0.4363099+0.33010617j),(16.129781616193355+15.198564691546022j)
145.0,(-0.29205295+0.51091582j),(16.93063553377031+26.466346086557362j)
149.75,(-0.088872358+0.60078865j),(20.40471929559139+38.8460189557198j)
154.5,(0.13547027+0.59105718j),(28.8257720558149+53.891193010369655j)
159.25,(0.35307938+0.50342166j),(46.27659476526829+74.92066515962759j)
164.0,(0.5246048+0.34504253j),(87.77376869712738+99.99640240139496j)
168.75,(0.60801554+0.14354585j),(174.9458829616568+82.37583697509731j)
173.5,(0.61360151-0.074489765j),(199.52677204169706-48.103683351854144j)
178.25,(0.54560363-0.30511862j),(101.68113037729357-101.85102750878025j)
183.0,(0.39402556-0.50428981j),(47.499844968213466-81.13903004563991j)
187.75,(0.17272468-0.61163819j),(28.156492442466078-57.78426409995965j)
192.5,(-0.070526741-0.61303926j),(20.344022945759384-40.28264416058276j)
197.25,(-0.30155718-0.53482401j),(15.732295834590142-27.010115717514456j)
202.0,(-0.49309945-0.39047375j),(12.687446359713137-16.393953033738672j)
206.75,(-0.60820878-0.19089901j),(11.317001816583813-7.278504562668816j)
211.5,(-0.63526553+0.043901764j),(11.108104234845145+1.640561438731955j)
216.25,(-0.58025765+0.2847119j),(11.291273614924608+11.0427277250169j)
221.0,(-0.44372433+0.49367991j),(12.014057085921836+21.20563703523148j)
225.75,(-0.24109611+0.62140852j),(14.423392636322204+32.2563617345605j)
230.5,(-0.0035645477+0.65612441j),(19.806336757519905+45.63895927198571j)
235.25,(0.23603344+0.60171795j),(30.782380201547046+63.62609406751452j)
240.0,(0.43574479+0.47259134j),(54.158683884252596+87.23799287470531j)
244.75,(0.55750453+0.28594732j),(109.41869862047267+103.01879390632372j)
249.5,(0.59654737+0.067673631j),(191.07774225919204+40.437476320235334j)
254.25,(0.55869251-0.15772019j),(150.93411234219602-71.81243711973367j)
259.0,(0.45045048-0.35405153j),(78.59256153232693-82.84675265868576j)
263.75,(0.27957773-0.48537049j),(45.47166478386044-64.32217693278427j)
268.5,(0.06307812-0.53464276j),(30.5147087386132-45.94471216811404j)
273.25,(-0.15841484-0.49243852j),(23.11283459542888-31.080036976371776j)
278.0,(-0.33817989-0.37670746j),(19.241250001958086-19.49192004033376j)
282.75,(-0.44232187-0.20971839j),(17.897161474058205-9.872472771912912j)
287.5,(-0.46368942-0.019565713j),(18.308298949389545-0.9131039375566143j)
