unixtime,depth
1545528420,-1.75
1545528600,0.0
1545528900,18.0
1545529020,18.0
1545529500,100.0
1545530400,170.0
1545530700,230.0
1545531000,305.0
1545531600,382.0
1545531660,400.0
1545532320,400.0
1545533280,600.0
1545533820,600.0
1545535140,330.0
1545536280,75.0
1545537000,0.0
1545606900,-2.5
1545608100,300.0
1545609240,400.0
1545611220,400.0
1545611880,510.0
1545612900,725.0
1545613500,830.0
1545614100,950.0
1545614400,1000.0
1545614940,1100.0
1545617400,1100.0
1545618900,800.0
1545619980,600.0
1545620940,400.0
1545621420,300.0
1545622080,150.0
1545623100,0.0
1545706800,0
1545707520,125
1545707760,150
1545707940,200
1545708360,300
1545708840,400
1545709320,500
1545709620,562
1545709800,600
1545710100,660
1545710280,700
1545710760,800
1545711480,920
1545711600,955
1545711960,1014
1545712440,1100
1545712980,1200
1545713220,1296
1545713820,1324
1545714180,1324
1545714360,1300
1545721200,0
1545775200,0
1545775800,120
1545776160,200
1545776760,315
1545777120,400
1545777360,445
1545777660,500
1545777900,550
1545778080,590
1545778440,650
1545778680,700
1545779100,775
1545779340,820
1545779760,890
1545780000,935
1545780360,1000
1545780720,1065
1545781020,1116
1545781260,1150
1545781620,1200
1545781920,1252
1545782280,1300
1545782640,1350
1545783000,1400
1545783420,1456
1545784080,1500
1545784500,1600
1545784740,1620
1545786000,1620
1545787020,1550
1545787380,1500
1545787800,1446
1545788040,1410
1545788400,1365
1545788760,1315
1545789180,1250
1545789480,1200
1545789900,1130
1545790140,1100
1545790440,1050
1545790800,1000
1545790980,960
1545791580,845
1545792000,770
1545792300,720
1545792900,600
1545793380,500
1545793980,383
1545794400,288
1545794700,217
1545795000,150
1545795540,40
1545795780,0
1545867900,0
1545868380,85
1545868800,150
1545869220,223
1545869400,267
1545869700,325
1545870060,400
1545870300,450
1545870480,500
1545870780,550
1545871020,600
1545871380,660
1545871560,700
1545872100,800
1545872760,915
1545873120,975
1545873540,1050
1545874440,1200
1545874980,1271
1545875820,1271
1545876300,1232
1545876600,1190
1545876900,1150
1545877020,1135
1545877560,1135
1545877800,1170
1545878340,1255
1545878700,1300
1545879000,1350
1545879360,1400
1545879900,1450
1545880020,1471
1545881580,1471
1545882000,1420
1545882420,1360
1545882840,1300
1545883500,1207
1545883920,1185
1545885000,1000
1545885420,930
1545885540,922
1545885600,922
1545886200,1045
1545886260,1045
1545886560,1000
1545887100,910
1545887640,800
1545887940,750
1545888180,700
1545888420,670
1545888600,670
1545888900,600
1545889140,550
1545889380,500
1545889620,450
1545889860,400
1545890100,350
1545890340,300
1545890580,250
1545890760,200
1545891000,150
1545891300,100
1545891540,50
1545891900,0
1545951000,0
1545951240,60
1545951480,106
1545951960,150
1545952260,210
1545952680,286
1545953100,366
1545953460,451
1545953760,507
1545954060,560
1545954780,683
1545955200,774
1545955560,840
1545955920,900
1545956400,980
1545956520,1000
1545956820,1060
1545957120,1100
1545957420,1150
1545957720,1200
1545958080,1250
1545958440,1300
1545959220,1400
1545959340,1400
1545959700,1350
1545960120,1300
1545960420,1250
1545960120,1200
1545961080,1150
1545961380,1100
1545961680,1050
1545961980,1000
1545962280,950
1545962520,900
1545962820,850
1545963120,830
1545963360,750
1545963600,700
1545963840,650
1545964140,600
1545964380,550
1545964620,500
1545964860,450
1545965100,400
1545965340,350
1545965580,300
1545965820,250
1545966000,200
1545966240,150
1545966600,100
1545966840,50
1545967140,0
1546042500,0
1546042860,80
1546042920,168
1546043700,200
1546044420,200
1546044660,253
1546044900,300
1546045140,350
1546045380,400
1546045620,450
1546045860,500
1546046100,550
1546046340,600
1546046640,650
1546046940,712
1546047180,750
1546047420,800
1546047720,850
1546048020,900
1546048260,950
1546048560,1000
1546048860,1050
1546049160,1100
1546049520,1150
1546049820,1200
1546050180,1250
1546050480,1300
1546050840,1350
1546051200,1400
1546057800,1400
1546058160,1355
1546058340,1355
1546058760,1300
1546059120,1250
1546059420,1200
1546059780,1150
1546060080,1100
1546060380,1050
1546060680,1000
1546060980,950
1546061220,900
1546061520,850
1546061760,800
1546062060,750
1546062300,700
1546062600,650
1546062840,600
1546063080,550
1546063320,500
1546063560,450
1546063620,438
1546063980,435
1546064160,400
1546064400,350
1546064640,300
1546064880,250
1546065060,200
1546065300,150
1546065660,100
1546065900,50
1546066200,0
1546201860,0
1546202100,50
1546202880,150
1546203120,212
1546203600,300
1546204080,400
1546204320,450
1546205040,600
1546205340,660
1546205700,730
1546206060,800
1546206420,858
1546207140,980
1546207980,1113
1546208520,1200
1546208820,1250
1546209120,1300
1546209600,1360
1546210200,1450
1546210620,1500
1546211040,1550
1546211460,1600
1546212000,1660
1546212360,1700
1546213500,1700
1546214100,1650
1546214400,1615
1546214940,1550
1546215300,1500
1546215660,1450
1546216020,1400
1546216380,1350
1546216740,1300
1546217040,1250
1546217340,1200
1546217700,1150
1546218000,1100
1546218300,1050
1546218540,1000
1546218840,950
1546219140,900
1546219380,850
1546219680,800
1546219920,750
1546220160,700
1546220460,650
1546220700,600
1546220940,550
1546221180,500
1546221420,450
1546221660,400
1546221900,350
1546222140,300
1546222320,250
1546222560,200
1546222800,150
1546223160,100
1546223400,50
1546223700,0
